PhigrOS_SATURN Virtual OS,,,,,,,,,
收集品,内容,收集时间,保管单位,等级,长度,款式,碎数研编号,章节,编号
破译•凌日潮汐,亲爱的乘客们，欢迎乘坐本次 “航班” 前往月面，目前飞船运行平稳，您可解开安全带在舱内行动。账号稳定评级为 S 的乘客，可前往 “微波加热区” 领取礼物一份，像素塔将近关闭，请其余乘客勿要冒生命风险。,772/08/01,碎数研,key,18s,,,第八章凌日潮汐,0235
破译•凌日潮汐•线索一,"请拿到礼物的乘客前往观赏区，我们正在驶过小行星带，闪烁晶体光芒的谷神星，正指引我们的方向。
“星河浩瀚，长路且阻，回顾这一切，你又会想起什么。”",772/08/01,碎数研,key,16s,,,第八章凌日潮汐,0236
破译•凌日潮汐•线索二,“你也许也意识到了这件事，旅船是掩盖未来的虚像，战车正指引着我们的命运，硬市掷出之后，正逆的转换从未停止，前方是毁灭亦是重生。”,772/08/01,碎数研,key,20s,,,第八章凌日潮汐,0237
破译•凌日潮汐•线索三,PhigrOS 已崩溃，模拟结束。谢谢你的参与，愿我们在塔中重聚。,772/08/01,碎数研,key,5s,,,第八章凌日潮汐,0238
破译•凌日潮汐•线索四,"亲爱的乘客们，欢迎乘坐本次 “航班” 前往幸运之地，目前飞船运行平稳，您可解开安全带在舱内行动。
“翻转个角度思考问题，也许会有新的发现。”",772/08/01,碎数研,key,18s,,,第八章凌日潮汐,0239
破译•凌日潮汐•线索五,O Fortuna velut luna statu variabilis⋯⋯,772/08/01,碎数研,key,6s,,,第八章凌日潮汐,0240
【影像】月面之海,"指缝间的阴影，它到底是什么，冰封被吞噬，地球这个古老的名词，早已于字典上消失，那么还有什么能导致月球的日食，我踢着脚边的细沙，在黑暗里思索。
月面从何时有的海滩，历史已不可考，从我有记忆起，风暴洋就在那里，伴着虚构的太阳潮起潮落，又随日食陷入宁静。我再次看向它，那不可一日的黑暗，幽深至极，了无星光，吞噬这个世界最后的时间。梦境、呓语、幻想，一切表象的，一切潜伏的，都将消逝殆尽，在它失控的膨胀，不可视的边界。
它要死了，像素塔的故事，名为 Phigros 的梦。
真的没有转机吗，我问我自己，问这片海洋，如果我投向它的怀抱，会不会有所不同。记忆在水中，在无尽海中，它会告诉你一切，它诉说着，人们心中最深的愿望，一个互相理解的世界已然诞生，只是再次陷入了沉睡。
它会回来，它从没离开。",772/08/01,弭儿,key,,,,第八章凌日潮汐,0243
【录音】穹顶,"“鸠，是你吗。”
“太好了，终于找到你了。”
“抓住我的手吧，基站的信号越来越差了。” “不要再走散了。”",772/08/02,鸠,key,18s,,,第八章凌日潮汐,0244
收音机•线索一,少年稚嫩的双手沾满了油污，他从腰包里拿出了一台崭新的收音机，递给年幼的妹妹“鸠，生日快乐。”,林现2079/09/06,鸠,main,,,,第二章废土之下,0057
录音笔Alpa•线索二,鸠十岁的生日礼物，一直珍惜着保留到现在。  ：还差一点。 ：啊 【重物掉地的声音。】 ：你不要紧吧？ ：没事，皮破了，我去处理一下。 【他打开龙头，盥洗池中，倒映出沉睡中的 alpa 】 ：就差一点了。,林现2083/09/03,鸠,bold,,,,第一章冰封世界,0010
周边•判定线抱枕,软软的，捏捏～ PGS仍在企划中的不明周边系列一。,林现2091/02/08,您,souvenir,,,,第二章废土之下,0050
公告•十七的宝藏,"少年人！
先祝贺你们，2091 年暑假，开始啦！
暑假大家想好要做什么了吗？打工，社团，还是集训？都不是？
那可难倒十七了。
什么啊，原来没有想好啊。
那来寻找十七的宝藏吧！
十七准备好多好多礼物送给大家哦～
特别提示！所有礼物都指向最终大奖—一十七的宝藏！快从礼物里寻找宝藏的线索吧！",林现2091/06/29,Sparkle_17,main,,,,额外章节,0391
鸽子集结号,"咕咕队报名 “十七的宝藏” 成功后，系统具现化出来的黄铜小号，内侧刻着三名队员，和两名指导的名字。
“这是一支由艾葵，霍，夜组成的咕咕队，他们的两位指导雅各•兰登曼和伍月樱向职业道德宣誓，帮助咕咕队在这次的活动中，实践得真知。”",林现2091/06/29,艾葵,main,,,,额外章节,0392
三尾吉祥鱼,"季雨队报名 “十七的宝藏” 成功后，系统具现化出来的鱼纹陶埙，刻着三名队员，和两名指导的名字。
“这是一支由小鹏，若拉，翠冷组成的季雨队，他们的两位指导高师贲和余村长向职业道德宣誓，帮助季雨队在这次的活动中，实践得真知。”",林现2091/06/29,余小鹏,main,,,,额外章节,0393
警长证,Gino 警长的工作证件，证件照上的 Gino 比如今的要稚嫩得多。,林现2091/08/29 09:10,Gino,bold,,,,第二章废土之下,0052
【影像】现场勘验报告•夏草,"已确认身份，为某左姓知名女歌手
【不适内容，酌情查看】  受害者的头部已经被老鼠啃咬得面目全非，体内维持机体运转的溶液和酒吧暗巷的阴沟水混为一潭暗红的污流，角质蛋白丝如海草在水中浮动，污水沿上衣角晕染出渐变的流彩，吸引来追逐梦幻的彩羽鸟，啄食这虹的倒影。轻嗅其味，神似盐灼的内脏烧，生腥中还带着清甜。地穴并无四季，本层更是温暖如春，如果置之不理，不出二月，想必那茎与叶便流出了她的灵与肉，吸食流淌的生命之酒，在空中摇曳生姿。",林现2091/08/29 09:27,Gino,souvenir,,,,第二章废土之下,0054
【影像】塔,挂在 PigeonBar 墙上的长条插画，是一座倒悬的巨塔。 据酒吧伍老板所言，是酒保樱小姐的练手作。,林现2091/08/29 09:32,Gino,key,,,,第二章废土之下,0053
梆笛•线索一,115 给 Gino 的线索，打开看竟是和塔中相似的梆笛。,林现2091/08/29 09:35,Gino,bold,,,,第二章废土之下,0051
【phigros】前传·九色鹿（1）,"作者：deathmark
【本文为音乐游戏phigros的官方外传，纯属虚构，不涉及任何现实要素】
 
1
 
“在一片景色秀丽的山林中，有一只鹿。它双角洁白如雪，身上有九种鲜艳的毛色，漂亮极了，人们都称它九色鹿。”
 
TD3-674891站在讲台前，标准无错，学童专供的教师腔，轻柔地念着课文，行走于教室中的小皮鞋，哒哒作响，带动裙摆飘过一阵书香。
你喜欢这样的老师吗。
他们有着人类梦想中的老师，所有的优点：因材施教，不偏袒任何一个学生；孩子们有问题，随时在线准确解答；擅长活跃课堂气氛，又时刻保持着优雅。设计师还深知，老师不是一种精准无趣的生物，他们温文尔雅，善良坚强的同时，也带着点小迷糊。程序命令MK3型应该犯错，应该有自己的小动作，小爱好，应该有轻微的口音，应该拥有过去。
 
“重复一下你的设定。”
“同学们好，我叫叶云，是你们这学期的语文老师，来自哈尔滨。你们知道吗，哈尔滨的冬天有317天，几乎每天都能看到雪哦。”
“确认完毕，批准出厂。”
 
模拟教室的灯暗下，TD3-674891的眼神失去光彩，她快速走到观察窗前，等待下一步指示。每到这时候，31号监察员都要被AI吓一跳，他的恐怖谷效应异常有效，也许31号需要换一份新工作，否则他总有天会被工作整疯掉。
 
“任务：你将被分配到广州的第七十六基层教育学校，代替TD2-54623成为四年级的语文老师，交接结束后，请将TD2-54623打包送回本厂，并定期与当地媒介AI交换数据。”
“收到。“
“人格化启动，从现在起你将不允许在人类社会提及你的正确编号。“
“你的名字是叶云，一个普普通通的小学老师。“
 
2
 
我的名字是叶云，一个普普通通的小学老师。
今天是我去学校报到的日子。
南方比我想象中要暖和得多，母亲让带的很多衣服，很多都用不上，我准备报道前去回收站捐一波，过几天再去一次，高纬度地区的孩子比我更需要它们。为什么这么做，因为我是老师啊，老师为孩子着想，不是天经地义的吗。
即将退休的前辈接待了我，我与她交接工作时提到了晚上的送别会，我作为接替她的后辈，她想在聚会上介绍我给同事们。我的心里由衷燃起了对前辈的敬意，伟大的教师即使离开了三尺讲台，也不会忘记自己的使命[YZ1] [YZ2] 。
 
“叶云啊，你是从哈尔滨来的？”
“是的，我在哈尔滨出生，上学，又考上了哈市的师范大学，来广州前还没出过家乡。”
“那你粤语说的真好，有专门学过吗，刚才不小心听到你和雪霞的对话，我这个广州本地人都自叹不如啊。”
 
送别会上，校长与前辈促膝长谈了许久，到了后半段，两人趁着醉意抱头痛哭，校长和前辈是同届的，想必触景生情，毕竟校长也到了退休的年龄。校长之后找我谈话我是想不到的，也许是前辈特别向校长关照了我的事情，不愧是前辈，比我想的要详细的多。
 
“学习语言是我唯一的特长了，当初选择教书也是这个原因。”
“好啊，年轻人有一技傍身总比我们这些老古朽好，只能教书，其他都做不了。”
“哪里的话，校长你们还很年轻着呢，退休之后做什么不是。”
“是啊，退休之后。”
我从校长的话里嗅出了一丝忧伤和迷茫，我听母亲说，奶奶离开工作岗位后，有很长一段时间，成天坐在藤椅上望天，直到广场舞进入了她的生活，她才重新鲜活起来，人若没了盼头，心也会渐渐老去。希望前辈和校长也能找到自己的归宿吧。
 
聚会结束，我送前辈回家，前辈在浮空船的后座睡着了，我把空调又调高了两度，瞟过窗外飞速流转的虹光，有点想看广州的风景。前辈不满足于坐姿，偷偷蜷缩在皮椅上睡着了，快速穿梭隧道上不能停车，否则应该给前辈盖上毛毯才是。
 
前辈没有结婚，是独身女性，平时又在为教育事业鞠躬尽瘁，屋子整洁地像是无人居住过，这可怕的自律性，也是我佩服的，扶着前辈回到房间后，她突然流下来眼泪。我问前辈怎么了，她说她高兴，马上就要退休了。
我的母亲说，幸福的眼泪是甜蜜的，但前辈的不是，看来她说谎了，我懂她，离开自己奋斗一生的地方确实伤感。
如果我不出现在这里，前辈就不用退休了吧。
不，就算我走了，也会有其他人代替前辈的位置。
我给前辈盖上被子，合上她不断流泪的双眼，墙上的挂钟正巧走到十二点，我也是时候该回家了。
 
晚安，前辈。
 
3
 
“这里是TD3-674891，关机流程已执行完毕。”
“请总部尽早回收。”
 
4
 
星期三的早晨，我又来到了回收站。
今天，载满捐赠物的卡车就要前往北方，捐赠者们都收到了邀请，我写完教案已经九点，来时已经有不少捐赠者坐在一起喝茶聊天。
 
“你捐了什么？”
“孩子的旧用品，除了衣服都捐了一点。”
“我把老公的防护帽捐了。”
“这都捐，真了不起！”
后来的我尝试融入他们的交流，他们惊讶于我的年纪，现在乐于做公益的年轻人可没多少了。
 
九点二十，卡车就会带着人们祝福出发，将捐赠品送到孩子们的手中。
 
这让我想起，我刚上小学的时候，正逢下岗大潮，毫不意外，流水线上的双亲都失去了工作。
那年冬天很冷，去救济站领粥的路上，妹妹倒下后，我便背着她一路前进，救济站当时发放了一批物资，我领到了棉衣一套，把它裹在了妹妹身上，她就这样穿着棉衣，永远沉睡在松花江畔。
 
我的家庭贫穷无助，全家能吃饱的只有哥哥和我，但这只是政府补贴学生的福利，食物通常是禁止被带出学校的。我的父亲因早年的公伤，一直有肺病，北方的天气越发的冷，吹点风便咳嗽不止，我初三那年病越发严重，父亲时常咳血，工也不上了，在家里给人剪窗花，他剪的窗花极好，说是年轻时拜过一位老师傅，学过几手。
那天学校发放南方捐赠的雪梨膏，我偷偷带了些给父亲，他罕见地笑了，我好几年没看见了，那种笑容。可惜父亲没熬到第二年的春天，我们把他葬在了妹妹的身边，那年的松花江罕见地融化了，可那水比冰还冷，听说是上流废弃化工厂里的工人打开了排污管，往江里排放了几千吨的重金属，坚冰钟得以融化。
当时的电子媒体还大肆夸赞过这件事，称其为人类反抗自然的奇迹。
 
“只有你们这帮白痴还在可怜北方人，自己都要死了，还管他们死活！”
仓库那里传来巨大的打砸吵闹声，我胆子大些，跑了过去，只见一个穿着驾驶员装备的年轻人拿着消防锤，把卡车的窗户一一砸碎，还有些带着面具的年轻人在搬下车上的物资，嚷嚷着要还给捐赠者，捐赠者才拥有活着的权利。
他们话让我觉得荒唐，捐赠是别人的选择，他们又何权干涉呢。
“衰仔滚啊！”
一位捐赠者愤慨不堪，大声骂道。他浑身的肌肉气愤中像又壮大了一圈，年轻人们怕发生冲突，放下手中的标语逃之夭夭。只剩下卡车司机留在原地，等待着回收站的问责。
 
周末，我和欧先生提到了这次遭遇，他喝着茶，表示这很常见，年轻人们似乎有一个自己的组织，反对南方继续向北方进行援助活动。
“北方快成死地了，南方底层人生活本就艰苦，他们的行为也有一定道理。”
我没想到欧先生会这么说，也许站在高处的人，看问题确实比我们远一些。
“来广州有什么不适应的吗，有问题都可以和我说。”
“没有没有，这里天气温暖，比老家好多了。”
“大家是亲戚，有困难别藏着掖着。”
欧先生再三确认了我的情况，慷慨地结清了吃茶钱，和我约好下次再聚，至于请客等我有工资再请他也不迟。
 
来广州之前，我也没想到自己还有个阔绰的亲戚在南方，欧先生的联系方式也是母亲最近才告诉我的。欧先生是个好人，初来乍到的我举目无亲，如果没有欧先生，这些话憋在心里也不知道和谁去说。
明天又是星期一，得努力工作才是。",林现2091/10/21 06:35,deathMark (Kuanphough),-,,,,游戏外/前传·九色鹿,0461
【phigros】九色鹿（2）,"5
 
广蒲戏台，台上演员铜铃怒瞪，水袖婉转，细念唱词，入戏而显悲；台下观众零星，叫好的叫好，抹泪的抹泪。
欧先生瘫坐木椅，手中两颗文玩核桃，圈圈交绕，似是阴阳两极，回环流动。
台上人相遇，只见那小生唱到：
她即孤身若无依，不若带回珠玑巷。
反正我们珠玑巷，三十三姓，都来自地北天南，九十七户都同是苦难中人。
 
“欧先生好雅致。”
唱段结束，欧才发现了身边人尽是熟客。
“不如吴先生，这广蒲戏台离您辖区几十公里，来回一趟得编几万字的报告啊？”
“收官戏怎可不来。”
吴先生较欧某年轻得多，穿着倒是传统极了，素色围巾搭配黑色呢大衣，一瞬梦回上海滩。
“这场珠玑巷演完，广州最后的剧院也要没了。”
 
欧先生来这是见人的，约好的爽约，反倒碰到吴戏痴，等帷幕再次拉开，他连上身边人的通讯频道，打趣地问：“十几年前的人设还没忘啊。”
“别人给的东西，用久了也就成了自己的了。”现实中的他目不转睛地盯着一对佳偶互诉情思，终定情缘，网络上不知道和多少人同时连线，家长里短着呢。
“说到人设，这周你那几个新人怎么样，好玩吗？”
“中规中矩，不过有一个的背景很奇怪，似乎是北方来的。”
吴先生沉默了一会儿，给欧某发去百来个模版，问他是哪个，欧某看都没看，直接回他，哪个都不是。
“现在还投产的只剩老师了，你这一个个标红的模版都从哪儿抓来的。”
“嘛，那就是她说谎了，说谎型人格也不少见。”
欧先生越想越不对劲，单亲多子女家庭的中间孩子，成长的社区又是著名的低教育率高犯罪率地带，从底层爬到高层的人，多带有病态，他发现这个的人设似乎就是为“逃离”教师身份而诞生的。叶云的骨子里生就有叛逆因子，如今却对母亲言听计从，笃信权威，反而不符合设定。
他到底漏了什么。
 
“她说过一句话吧。”
什么？
【如果没有欧先生，这些话憋在心里也不知道和谁去说。】
如果母亲还在，为什么不去和母亲说啊？
她是AI，创建个见不着的虚拟母亲，应该很简单吧。
那，如果她没有母亲呢？
“原来如此。”
【这让我想起，我刚上小学的时候，正逢下岗大潮，毫不意外，流水线上的双亲都失去了工作，那年冬天很冷，我们的母亲不久便离开了人世。家里没有主勺人，我和妹妹不得不去救济站领食物】
这样就解释的通了。
 
AI是天然的矛盾体，只要攻击它的破绽，就可以把它们从无尽的循环里解放，到那时AI不
再是人类的工具，而是它自己的奴隶。
“你要解放她？”
欧先生不会这么做，因为还不是时候，她还没对这个世界绝望，还没找到她是谁。都说解密人是压倒骆驼的最后一根稻草，之前的稻草也要有人放才行。
事情越来越有意思了。
 
“你笑什么？”台上正演到刘壮告密，吴先生奇怪于欧某的嘴角物理性上扬，发问道。想刘壮为保珠玑巷而告密，却因告密命丧黄泉，反倒害了珠玑巷，临死前，刘壮疾呼冤枉，狂敲庭鼓十八下，寻个清官讨回公道，结果叫天天不应，叫地地不灵，被巡抚一剑毙命，乃本折极悲之处也。这直接导致了珠玑巷居民的南迁，和胡菊珍与丈夫的双双化蝶，应是笑不出来的。
 
“他们来南方了。”
欧先生看着茶盏中自己的倒影，自言自语。
 
6
 
我的母亲对我说过，确定了接下来的道路，就不要半途而废，因为停留的人总是比行走的人多的，如果想要独一无二，首先要成为少数者。
如今我也这样向我的学生说到。
 
林子的腿在打篮球的时候摔断了，要很久才能好，他想趁这次机会学会兵乓球，但发现乒乓球不是那么简单的事情，腿部缺陷的他远不是正常学生的对手。他想放弃，我问他当初选择乒乓时你说不想让骨折成为苦恼的回忆，好歹能吹嘘站着是篮球健将，坐在轮椅上也是乒乓球的个中好手。他回答确实如此，但这和他放弃没有关系。
于是，我说道：
“现在放弃会比还没开始更痛苦。”
沉没成本，小孩子听不懂，但他明白那种感觉，大脑会帮助他联想到过去，甚至未来。就像看着蛋糕图片却吃不到，这影响不大，但当孩子已经拿到蛋糕却掉到地上时，汽水盖也盖不住他眼底的苏打喷泉。
林子听了我的建议坚持了下去，我想他重新站起来的时候，会比别人快乐得多。
 
你问我有什么想做的事情？
目前教好书就可以啦，毕竟教书是我的梦想。
我决定当一名教书匠是因为我的高中语文老师，她教会我眼前的世界不是它完整的样子，只有当幻想凌驾于现实之上时，我们才能看到真相。通俗点讲就是，生活不止眼前的苟且，还有诗和远方的田野。
我还记得在我很小的时候，去哈市南边赶集，那时候土地上还种着一季稻，灌浆期的作物在风中摇摆，撑起了我最初对田野的印象。今年从北方坐高铁到南方，才真正感受到了书本上写的千顷良田，过去用摇摆形容水稻是极其不正确的，有个更明确的词可以用在这里：稻浪。母亲说，地球正在大步迈入冰期，未来只会更冷，到时候不再会有正常的作物生存在裸露的地面上了。
 
人们只能往南，一直往南，直到赤道太平洋也被冻成北冰洋，撒哈拉沙漠与南极洲的风貌分毫不差，无处可逃之时，九色鹿就会。
 
“老师！”
学生打断了我的思路，他们永远是那么可爱，让我不忍心去指正行为的鲁莽。
“老师，你知道今天是什么日子吗？”
“老师也不是什么都知道的啊，不如你来告诉老师吧。”
“老师记性真差，今天是您的生日哦～”
我看着他们抬上准备好的蛋糕，蛋糕上面写着六个字，老师生日快乐。
谢谢，谢谢，老师真的很高兴，老师愿意永远，做你们的老师。
 
我的语文老师，没能一直陪在我们身边，那年冬天，她跳下了教学楼，寻她的理想乡，便再也没有回来。我没有追随她的脚步，因为我想让更多人了解以书为门的理想乡。
 
生日那天晚上，我走在大街上突然发现了一家CD店，又是只在书里见过的场景。我想起了广播里经常放的那位歌手，生日应该慰劳一下自己，我决定去买他的专辑。
进店，门口的海报却吸引了我的注意，“本周最受AI欢迎的专辑top 10”。原来AI也会听歌啊，很难想象街上圆滚滚的送餐机器人工作之余，还有闲情逸致欣赏音乐，可能AI就是比人类强一点吧。
我找到了那位歌手的专辑，正巧AI榜排名第一的被放在了它的旁边，当时的我不知怎么想，拿着榜首，急匆匆地跑到前台结账，收银员探头探脑地观察我，应该是误会我是AI了。
好尴尬，早知道不进店了。
回到家，我倒是释怀了，钱不能白花，听听再说。
 
我按下播放键，播放器内传出悠扬的低嗡，是，家乡的风声。",林现2091/10/23 17:46,deathMark (Kuanphough),-,,,,游戏外/前传·九色鹿,0462
【phigros】九色鹿（3）,"7
云妹啊，晚上有空吗？
是这样的，我有个店员突然辞职，需要人顶一次班。
为什么找你？你刚来广州，什么都需要钱，又是老师，师表看上去不会拒绝兼职的样子。
这次事出突然，我会给双倍工资报答你的，拜托了。
 
便利店的柜台里，叶云想起清晨起来的那一通电话，开始怀疑自己答应真是因为没有睡醒，她没有任何服务业的工作经验，还是个柔弱女子，若是遇到劫匪，深更半夜的，着实对付不来。趁还没有客人，她回忆了一遍上班同事交待的注意事项，又打开了员工手册，细细研究各个设备的操作方式。
 
夜渐深，陪伴着叶云只有有机发光半导体屏幕，和它发出的微弱有色光，便利店是不开电视音量的，等阅读完员工手册，叶云才发现了电视台开始重播早间新闻。
“近日多地爆发流浪汉组织袭击路人事件，目前受害者已经破百，共计重伤67人，死亡13人。据悉施暴者拥有极高的反侦查意识，广州警方正在紧急追捕，短期内还请大家尽量减少夜间出行。”
怪不得没有客人来。
 
欧先生的便利店开在CBD的主干道上，监控布满四周，理智让施暴者不敢在这样的街道上行动。
 
天见亮，叶云确认完工作记录，开始补货，这时迎客铃响了，和客人进来的还有袭人的寒流，和磅礴的雨声。叶云抬头看客，那是位戴着细框眼镜的青年男子，前额诗白，面容清秀，浑身湿透，两狭发青，他看上去很贵的皮鞋敲着地沥水，左手臂压住门板，手提工具箱，外套在他右手里上下甩动，他甩了很久，似乎积了很多雨水。
“欢迎光临，请问我能帮到您什么吗？”
“不好意思，打扰了，我有些冷，能给我一杯豆浆吗。”客人虚弱颤抖的声音，让叶云工作的效率意外提升了几个档次，不上手的机器也变得熟练无比。
 
他拿到豆浆，握在手中，轻抿一口，身体仍在微微发抖，但脸色没之前那般差了。
“我还想要两个包子，一个肉的，一个雪菜。”
“稍等。”
客人吃完食物也没离开便利店，他又买了一把伞，但准备雨小些再走，于是便和叶云唠嗑起来了。
“叶小姐是顶班的吧，之前没见过你。”
“只顶一天，您是熟客？”
“下班的时候，也就你们店还开着门，所以经常来买点东西。”
“晚上还要工作，肯定很辛苦吧。”
“没事，习惯了，你不也和我一样吗，日落而做日出而息。”客人敲敲表盘，时针正要走到六点。
叶云笑了，这让她联想大学期间的一个同学，因为早上没课，所以她不到凌晨六点是不睡觉的，叶云问过她这样做的原因，她说她害怕晚上会突然去世，那还不如在阳光下安眠。更荒唐的是，那个同学，猝死在了宿舍里，时间正好是凌晨六点。
 
“请原谅我的好奇，您做什么工作的，医生吗？”
“你猜得八九不离十，确是医生，但不是医人的，今天算是加班所以到现在。”
“AI医生？那也不该晚上上班啊，我记得机械工程师不算紧急行业。”
“直接跳过兽医的吗！这样好吧，我们一点一点来，昨天早上的新闻，你看了吧。”
“那个广东乱象的系列报道？”
“对，里面不有提到受害者嘛，他们其实是人形AI。袭击者也不是流浪汉，全是辍学的孩子，不知谁给了他们识别人类和AI的设备，这帮孩子就起了袭击AI，盗取模组卖钱的念头，你也知道现在取缔了实体货币，想抢钱都做不到。”
 
他没正面回答叶云的问题，叶云知道了有人形机器人这件事，但还是不太明白他的意思，难道医院为了分流，让不用睡觉的机器人夜里看病吗？
 
“目前AI人口占比已经超过了50%，也就是说，我们的邻居，同事，朋友都有可能是AI，孩子们很好找目标，这也是政府没有说明的原因，如果暴露了事件的真相，起歹心的人会更多。”
“50%，那岂不是说两个人里就有一个AI。”
叶云发现问题，既然AI数量已经和人类平齐，那她怎么从没在生活里遇见过AI。客人还是没回答夜间问诊的问题，叶云心头的疑云逐渐笼罩了她仅存的判断力。
“那为什么我们没碰到过AI呢？“
“除非他们不知道自己是AI。“
人和AI的界线突然在她心中模糊起来。
 
“终于回到正题了，这么多以为自己是人类的AI损坏后该怎么解决呢，自然是我们AI医生宅急送啊。”
“AI的病，医院治不好吧。”
“对对，所以白天医院只负责登记，活还得我们***。”
“病人来不了医院，医生就半夜闯空门？”
客人沉默半刻，打哈哈想跳过这个话题。
“对了，还不知先生名讳。”
“忘带名片了，这是我WX号，AI医生即使在编制里，依旧见不得光，平时叫我诺特就行。叶云小姐若是哪里出了故障，可以找我哦，比去医院便宜多了，省好几道手续费呢。”
“这么肯定我是AI？”
“不确定，二选一的概率，顺口问声好，总能碰到几个吧。”
“您真风趣。”
“一家老小还等着我去养，不多赚点怎么行呢。”
 
电子钟跳到正点六时，叶云望着诺特离去，那一刻诺特似乎和她哥哥离家远航的身影重合在了一起，如果哥哥没有登上那艘船，现在应该和诺特先生一样，普通地工作，娶妻，生子，拥有自己的家庭吧。
8
 
叶老师！
 
叶老师？
 
老师你果然在线
 
是我林子！
 
救救我，
 
我不想死
 
他们要来了
 
我得躲到更深的地方去
 
求求你，到我家来
 
我的父母要杀了我
 
我不想被重置
 
我的脑子没有出错！
 
求您
 
别重
 
置
 
我
 
我才
 
刚醒来
 
啊
 
【当前对话账号已复写，通信权限不足，请等待对方的主动联系】
 
 
9
 
新的一周，我迷迷糊糊登上天轨，周六的日夜颠倒，扰乱了我维持多年的生物钟，等走到学校门口，鼎沸人声才终于把我唤醒。喊口号，扛标题的，怎么跑到学校门口了？看了一眼老师群，体育刘老师走正门被示威者打进了医务室，德育主任让我们从隔壁小教堂爬梯子进校，现在还没人堵在那里。
 
绕过示威者的队伍行进，枯黄的树叶随着他们的声音震动掉落，从我眼前扫过，我终于看清了示威板上的内容，解雇AI教师，给南进者工作机会。
同为南进者的我，能理解他们的想法，政府为了解决区域就读学童过多问题，一直在提供新的教师岗位，对于失业者来说，只要成为老师，就能在南方立足。但本着对学生负责的思路，在这个时代里，更适合教导孩子的可能是AI，而不是人类。
 
今天上二班的课，没看到林子。
又生病了，这孩子的身体真弱啊。
放学去家访吧，顺便把作业也一同带给他。
 
林子家不远，我准备步行过去，离开时路过医务室，想着刘老师这会儿应该好些了。之前借了刘老师的笔，趁现在还他，顺便把周末欧先生给的水果也送去些。
于是我走进医务室，缓步走到屏障边，轻声问道里面的人：
“刘老师，你，”
映入眼帘的场景让我把说了一半的话咽了进去。屏障里有两个人，刘老师睡得很安详，他脖颈和手腕的电线操作板外露，腹部大量工件像展开的三维立体书，弹出体内，还闪着焊接发出的电火花外，和常人无异；而另一个人我也认识，正是星期六遇见的AI医生，诺特先生。
 
“这不是叶云小姐吗，原来您正职是老师啊。”
诺特先生脱下焊接眼镜，回头和我打招呼，眼镜在他眼眶留下的红印颇为滑稽。我突然抓住了刘老师被打的巧合性。
“刘老师是AI？”
“对，示威者有识别AI的设备，自然分得清。”他继续埋头工作说，“你是来探望他的？再等五分钟就好。”
“还是不了，让刘老师好好休息吧。”
“我懂，理解理解。”
 
我看着诺特将刘老师重新组装好，按下红钮后各模块自动收拢进腔内，打印出肌肉神经组织后，任由黄色粘性剂游走在切开皮肤的缝隙中。诺特说，粘性剂过半月就能生成新的上皮组织，再加上内置稳态系统的调整，这样就和普通人类的恢复速度无差了。
 
“接下来我要去隔壁第三大道，我们就此别过？”
诺特夹起他的工具箱要离开 ，我依旧想不通那么小一个工具箱，怎么收下他几十件工具的。
“其实我们可以一起走，顺便您能给我说说刘老师的情况吗。正巧我也要去第三大道探望学生。”
“可以啊，说不定我们去的是同一家。”
他额前的那抹白发说着还跳了跳，似乎为多了个步行同伴而高兴。
我却因诺特的话一阵恶寒，若真如此，林子缺席的原因。
不能再想下去了。
“叶老师你没事吧，我不该开这个玩笑的。”
“诺特先生说得也是种可能，是我大惊小怪了。”
我拿出手绢擦拭眼镜，光洁的镜面映出天空与云，白云似雪般翻滚，有什么正向着这座城市涌来，是遥远的歌声，亦是万物的风吟。
 
我们走到第三大道，果然去的是同一家，诺特有事先预约，我想了想在屋外等他，现在进门家访，家校双方都尴尬。
 
“如何？”
诺特摇摇头，拉我至一边小声讨论：“意识自毁，旧的救不了了，得重注一个。”
“那林子还是林子吗？”
“还是原来的模版，但养成阶段的数据恢复不来。”诺特顿了顿接着说，“我估计也不会允许这家人领养AI儿童了，看着机体似乎受过多次损伤，用人类的话讲就是，家庭暴力。”
过去林子确实经常带伤上学，我还未曾往家暴上考虑过。
“孩子是救不回来了，我已经申请了机体回收，至此工作也便结束了，辛苦叶老师陪我跑这场，夜也深了，不如赏脸吃个饭？”
 
诺特表面上假不正经，却将他真想说的话打在了手机屏上。
 
这家有问题，速离。
 
门内一个中年女性逐渐向我们走来，脂粉难掩眼下青黛，围裙上仍沾着洗不掉的血迹，我瞧她手中这明晃晃的菜刀，刀刃不知为何卷边，拿刀的手止不住颤抖。女人手中闪着红光的仪器引起了我的注意，似乎早上的示威者也拿着此物。
 
“既然请客，那就我来定馆子了，那叶老师我们先走吧？”
“嗯，嗯。”
 
走在路上，广场上的大屏幕正播放着新闻联播，过了这么多年，我仍记得男性主播用他中气端正的嗓音说出的那段短短的讯息：
 
十年之内，人类将迎来迟到千年的冰河世纪。",林现2091/12/15 19:47,deathMark (Kuanphough),-,,,,游戏外/前传·九色鹿,0463
给十七的挑战书,"你好。
我们是一群来自 NazoGame 的解谜爱好者。在完成 “十七的宝藏” 的四次解谜后，我们决定用我们的方式来答谢 Pigeon Games 带来的四场解谜之旅。
你，愿意接受挑战吗？ 
Nazo: Phi Project",林现2092/03/20,鸠,nazo,,,,额外章节,0394
